//Data is presented as follows:
//Category ID Name id1 qty1 id2 gty2 id3 qty3 id4 qty4

T6 24295 Vial_of_Powerful_Blood 24294 50 24295 1 24277 5 20796 5
T6 24358 Ancient_Bone 24341 50 24358 1 24277 5 20796 5
T6 24351 Vicious_Claw 24350 50 24351 1 24277 5 20796 5
T6 24277 Pile_of_Crystalline_Dust 24276 250 24277 1 20796 5 20799 5
T6 24357 Vicious_Fang 24356 50 24357 1 24277 5 20796 5
T6 24289 Armored_Scale 24288 50 24289 1 24277 5 20796 5
T6 24300 Elaborate_Totem 24299 50 24300 1 24277 5 20796 5
T6 24283 Powerful_Venom_Sac 24282 50 24283 1 24277 5 20796 5

T5 24294 Vial_of_Potent_Blood 24293 50 24294 1 24276 5 20796 4
T5 24341 Large_Bone 24345 50 24341 1 24276 5 20796 4
T5 24350 Large_Claw 24349 50 24350 1 24276 5 20796 4
T5 24276 Pile_of_Incandescent_Dust 24275 250 24276 1 20796 4 20799 5
T5 24356 Large_Fang 24355 50 24356 1 24276 5 20796 4
T5 24288 Large_Scale 24287 50 24288 1 24276 5 20796 4
T5 24299 Intricate_Totem 24363 50 24299 1 24276 5 20796 4
T5 24282 Potent_Venom_Sac 24281 50 24282 1 24276 5 20796 4

T4 24293 Vial_of_Thick_Blood 24292 50 24293 1 24275 5 20796 3
T4 24345 Heavy_Bone 24344 50 24345 1 24275 5 20796 3
T4 24349 Sharp_Claw 24348 50 24349 1 24275 5 20796 3
T4 24275 Pile_of_Luminous_Dust 24274 250 24275 1 20796 3 20799 5
T4 24355 Sharp_Fang 24354 50 24355 1 24275 5 20796 3
T4 24287 Smooth_Scale 24286 50 24287 1 24275 5 20796 3
T4 24363 Engraved_Totem 24298 50 24363 1 24275 5 20796 3
T4 24281 Full_Venom_Sac 24280 50 24281 1 24275 5 20796 3

OTHER 20796 Philosopher's_Stone
OTHER 20799 Mystic_Crystal
